steps,time,reward,delta,converged
1,0.00800180435180664,1.1194551871559837,0.10622485871518939,False
2,0.011002779006958008,1.5416254545926664,5.2694626634114e-06,False
3,0.011002540588378906,1.541635584624082,5.2695084786257614e-06,False
4,0.011002302169799805,1.54163575210797,5.269508478752179e-06,False
5,0.011002063751220703,1.541635584624082,5.2695084786257614e-06,False
6,0.011002302169799805,1.54163575210797,5.269508478752179e-06,False
7,0.011002540588378906,1.541635584624082,5.2695084786257614e-06,False
8,0.012003183364868164,1.54163575210797,5.269508478752179e-06,False
9,0.011002063751220703,1.541635584624082,5.2695084786257614e-06,False
10,0.011002540588378906,1.54163575210797,5.269508478752179e-06,False
11,0.011002540588378906,1.541635584624082,5.2695084786257614e-06,False
12,0.010002613067626953,1.54163575210797,5.269508478752179e-06,True
