step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0
33,0.001876172607879925,5.5181547290586025e-05,0.0,0.00031699385534367225,0.001876172607879925,0.0
34,0.0,5.360493165371214e-05,0.0,0.0003125677777992656,0.001876172607879925,0.0
35,0.0,5.211590577444236e-05,0.0,0.000308321856530103,0.001876172607879925,0.0
36,0.0,5.0707367780538514e-05,0.0,0.0003042442066832311,0.001876172607879925,0.0
37,0.0,4.937296336526118e-05,0.0,0.0003003240115679974,0.001876172607879925,0.0
38,0.0,4.8106989945639104e-05,0.0,0.0002965514024615855,0.001876172607879925,0.0
39,0.0,4.6904315196998124e-05,0.0,0.0002929173545215008,0.001876172607879925,0.0
40,0.0,4.576030750926646e-05,0.0,0.00028941359631797734,0.001876172607879925,0.0
41,0.0,4.467077637809345e-05,0.0,0.0002860325309315129,0.001876172607879925,0.0
42,0.0,4.363192111348663e-05,0.0,0.00028276716690989396,0.001876172607879925,0.0
43,0.0,4.264028654272557e-05,0.0,0.00027961105766254475,0.001876172607879925,0.0
44,0.0,4.169272461955389e-05,0.0,0.00027655824810134664,0.001876172607879925,0.0
45,0.0,4.078636104086794e-05,0.0,0.00027360322752668936,0.001876172607879925,0.0
46,0.0,3.991856612510479e-05,0.0,0.0002707408879136669,0.001876172607879925,0.0
47,0.0,3.908692933083177e-05,0.0,0.00026796648688246736,0.001876172607879925,0.0
48,0.0,3.8289236895508674e-05,0.0,0.0002652756147442474,0.001876172607879925,0.0
49,0.0,3.75234521575985e-05,0.0,0.0002626641651031895,0.001876172607879925,0.0
50,0.0,3.678769819372402e-05,0.0,0.00026012830857026357,0.001876172607879925,0.0
51,0.0,3.608024245922932e-05,0.0,0.00025766446920705906,0.001876172607879925,0.0
52,0.0,3.539948316754575e-05,0.0,0.0002552693033710212,0.001876172607879925,0.0
53,0.0,3.4743937182961575e-05,0.0,0.0002529396806782197,0.001876172607879925,0.0
54,0.0,3.4112229234180454e-05,0.0,0.0002506726668377805,0.001876172607879925,0.0
55,0.0,3.350308228357009e-05,0.0,0.000248465508144454,0.001876172607879925,0.0
56,0.0,3.291530891017412e-05,0.0,0.00024631561744339826,0.001876172607879925,0.0
57,0.0,3.234780358413664e-05,0.0,0.00024422056140488934,0.001876172607879925,0.0
58,0.0,3.179953572677839e-05,0.0,0.0002421780489669574,0.001876172607879925,0.0
59,0.0,3.1269543464665416e-05,0.0,0.00024018592082140742,0.001876172607879925,0.0
60,0.0,3.0756927998031557e-05,0.0,0.00023824213983375363,0.001876172607879925,0.0
61,0.0,3.0260848514192338e-05,0.0,0.00023634478230063108,0.001876172607879925,0.0
62,0.0,2.9780517585395634e-05,0.0,0.00023449202995955238,0.001876172607879925,0.0
63,0.0,2.9315196998123827e-05,0.0,0.0002326821626757086,0.001876172607879925,0.0
64,0.0,2.8864193967383462e-05,0.0,0.00023091355173906767,0.001876172607879925,0.0
65,0.0,2.8426857695150378e-05,0.0,0.0002291846537125064,0.001876172607879925,0.0
66,0.0,2.8002576237013804e-05,0.0,0.00022749400477824647,0.001876172607879925,0.0
67,0.0,2.7590773645293013e-05,0.0,0.00022584021553560455,0.001876172607879925,0.0
68,0.0,2.7190907360578622e-05,0.0,0.00022422196620810073,0.001876172607879925,0.0
