params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.4970686435699463,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",2.477558135986328,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",2.5165669918060303,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",2.559577226638794,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",2.5655786991119385,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",2.604091167449951,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",2.683605432510376,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",2.850642442703247,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8}",3.198721170425415,100,1.876172607879925e-05,0.0,0.0,0.001876172607879925,0.00018667681746840903
"{""discount_factor"": 0.9}",3.5467987060546875,100,0.0015106659501236826,0.0,0.0,0.011627906976744186,0.002760021909542129
