step,reward,mean,median,std,max,min
0,6.769230769230769,6.769230769230769,6.769230769230769,0.0,6.769230769230769,6.769230769230769
1,-13.375,-3.3028846153846154,-3.3028846153846154,10.072115384615385,6.769230769230769,-13.375
2,-13.375,-6.66025641025641,-13.375,9.496081452473186,6.769230769230769,-13.375
3,6.769230769230769,-3.302884615384615,-3.3028846153846154,10.072115384615383,6.769230769230769,-13.375
4,6.769230769230769,-1.288461538461538,6.769230769230769,9.86861732909761,6.769230769230769,-13.375
5,-13.375,-3.302884615384615,-3.3028846153846154,10.072115384615383,6.769230769230769,-13.375
6,6.769230769230769,-1.8640109890109886,6.769230769230769,9.968808906199994,6.769230769230769,-13.375
7,6.769230769230769,-0.7848557692307693,6.769230769230769,9.752283786423723,6.769230769230769,-13.375
8,6.769230769230769,0.05448717948717944,6.769230769230769,9.496081452473184,6.769230769230769,-13.375
9,-13.375,-1.2884615384615385,6.769230769230769,9.868617329097612,6.769230769230769,-13.375
10,6.769230769230769,-0.5559440559440559,6.769230769230769,9.690295448741812,6.769230769230769,-13.375
11,-13.375,-1.624198717948718,6.769230769230769,9.931239699994949,6.769230769230769,-13.375
12,6.769230769230769,-0.9785502958579883,6.769230769230769,9.8002539912023,6.769230769230769,-13.375
13,-13.375,-1.864010989010989,6.769230769230769,9.968808906199996,6.769230769230769,-13.375
14,-13.375,-2.6314102564102564,6.769230769230769,10.04970798114283,6.769230769230769,-13.375
15,-13.375,-3.3028846153846154,-3.3028846153846154,10.072115384615385,6.769230769230769,-13.375
16,-13.375,-3.8953619909502257,-13.375,10.054674479089256,6.769230769230769,-13.375
17,-13.375,-4.422008547008547,-13.375,10.00974874543175,6.769230769230769,-13.375
18,-13.375,-4.893218623481781,-13.375,9.945770259949478,6.769230769230769,-13.375
19,-13.375,-5.317307692307692,-13.375,9.86861732909761,6.769230769230769,-13.375
20,-13.375,-5.701007326007326,-13.375,9.782459597964179,6.769230769230769,-13.375
21,-13.375,-6.049825174825174,-13.375,9.690295448741812,6.769230769230769,-13.375
22,-13.375,-6.368311036789297,-13.375,9.594303996432467,6.769230769230769,-13.375
23,-13.375,-6.66025641025641,-13.375,9.496081452473186,6.769230769230769,-13.375
24,-13.375,-6.928846153846154,-13.375,9.396803245923772,6.769230769230769,-13.375
25,-13.375,-7.176775147928994,-13.375,9.297337278106507,6.769230769230769,-13.375
26,6.769230769230769,-6.66025641025641,-13.375,9.496081452473184,6.769230769230769,-13.375
27,-13.375,-6.900068681318681,-13.375,9.407857094832806,6.769230769230769,-13.375
28,6.769230769230769,-6.428713527851459,-13.375,9.574795137808028,6.769230769230769,-13.375
29,-13.375,-6.66025641025641,-13.375,9.496081452473184,6.769230769230769,-13.375
30,6.769230769230769,-6.2270471464019845,-13.375,9.63829766157904,6.769230769230769,-13.375
31,-13.375,-6.450420673076923,-13.375,9.56768128056807,6.769230769230769,-13.375
32,6.769230769230769,-6.049825174825175,-13.375,9.690295448741812,6.769230769230769,-13.375
33,-13.375,-6.26527149321267,-13.375,9.626617905945892,6.769230769230769,-13.375
34,-13.375,-6.468406593406594,-13.375,9.561745600446905,6.769230769230769,-13.375
35,-13.375,-6.660256410256411,-13.375,9.496081452473184,6.769230769230769,-13.375
36,6.769230769230769,-6.297297297297297,-13.375,9.616704269728086,6.769230769230769,-13.375
37,-13.375,-6.483552631578948,-13.375,9.55671801884749,6.769230769230769,-13.375
38,-13.375,-6.660256410256411,-13.375,9.496081452473184,6.769230769230769,-13.375
39,-13.375,-6.828124999999998,-13.375,9.435051062484117,6.769230769230769,-13.375
40,-13.375,-6.987804878048779,-13.375,9.373839713735933,6.769230769230769,-13.375
41,-13.375,-7.139880952380951,-13.375,9.312624089421982,6.769230769230769,-13.375
42,-13.375,-7.284883720930231,-13.375,9.251550758896578,6.769230769230769,-13.375
43,6.769230769230769,-6.965472027972027,-13.375,9.382588223201642,6.769230769230769,-13.375
44,-13.375,-7.107905982905981,-13.375,9.325734325709249,6.769230769230769,-13.375
45,-13.375,-7.244147157190634,-13.375,9.268978255318254,6.769230769230769,-13.375
46,-13.375,-7.374590834697217,-13.375,9.212421874003436,6.769230769230769,-13.375
47,-13.375,-7.499599358974358,-13.375,9.156150593013551,6.769230769230769,-13.375
48,-13.375,-7.619505494505494,-13.375,9.100235848973563,6.769230769230769,-13.375
49,6.769230769230769,-7.331730769230768,-13.375,9.231246231665851,6.769230769230769,-13.375
50,6.769230769230769,-7.055241327300149,-13.375,9.34704912940701,6.769230769230769,-13.375
51,-13.375,-7.176775147928993,-13.375,9.29733727810651,6.769230769230769,-13.375
52,-13.375,-7.293722786647313,-13.375,9.24774129243452,6.769230769230769,-13.375
53,-13.375,-7.40633903133903,-13.375,9.198324313547012,6.769230769230769,-13.375
54,6.769230769230769,-7.148601398601397,-13.375,9.309026304844705,6.769230769230769,-13.375
55,6.769230769230769,-6.900068681318682,-13.375,9.407857094832806,6.769230769230769,-13.375
56,6.769230769230769,-6.660256410256411,-13.375,9.496081452473186,6.769230769230769,-13.375
57,6.769230769230769,-6.4287135278514596,-13.375,9.574795137808028,6.769230769230769,-13.375
58,6.769230769230769,-6.205019556714472,-13.375,9.644953141582299,6.769230769230769,-13.375
59,6.769230769230769,-5.988782051282052,-13.375,9.707392197951288,6.769230769230769,-13.375
60,6.769230769230769,-5.779634300126103,-13.375,9.762848934616311,6.769230769230769,-13.375
61,-13.375,-5.902140198511167,-13.375,9.730949528930433,6.769230769230769,-13.375
62,6.769230769230769,-5.701007326007326,-13.375,9.782459597964182,6.769230769230769,-13.375
63,-13.375,-5.820913461538462,-13.375,9.752283786423723,6.769230769230769,-13.375
64,6.769230769230769,-5.627218934911243,-13.375,9.8002539912023,6.769230769230769,-13.375
65,6.769230769230769,-5.4393939393939394,-13.375,9.842907915317866,6.769230769230769,-13.375
66,6.769230769230769,-5.257175660160735,-13.375,9.88070113065433,6.769230769230769,-13.375
67,6.769230769230769,-5.080316742081448,-13.375,9.914042735231268,6.769230769230769,-13.375
68,6.769230769230769,-4.908584169453735,-13.375,9.943301125032276,6.769230769230769,-13.375
69,-13.375,-5.029532967032967,-13.375,9.92301334226433,6.769230769230769,-13.375
70,-13.375,-5.147074756229686,-13.375,9.901841800665963,6.769230769230769,-13.375
71,-13.375,-5.261351495726496,-13.375,9.879874280556907,6.769230769230769,-13.375
72,6.769230769230769,-5.096548998946259,-13.375,9.911118826860484,6.769230769230769,-13.375
73,6.769230769230769,-4.936200623700623,-13.375,9.938802097737161,6.769230769230769,-13.375
74,-13.375,-5.0487179487179485,-13.375,9.91965595639426,6.769230769230769,-13.375
75,6.769230769230769,-4.893218623481781,-13.375,9.945770259949478,6.769230769230769,-13.375
76,-13.375,-5.003371628371628,-13.375,9.92753001706207,6.769230769230769,-13.375
77,-13.375,-5.110700197238659,-13.375,9.908547378047484,6.769230769230769,-13.375
78,-13.375,-5.2153115871470295,-13.375,9.88888929044519,6.769230769230769,-13.375
79,-13.375,-5.317307692307692,-13.375,9.86861732909761,6.769230769230769,-13.375
80,-13.375,-5.4167853751187085,-13.375,9.847788172935156,6.769230769230769,-13.375
81,-13.375,-5.513836772983114,-13.375,9.826454033771107,6.769230769230769,-13.375
82,6.769230769230769,-5.3658480074142725,-13.375,9.858584602474709,6.769230769230769,-13.375
83,-13.375,-5.461195054945055,-13.375,9.838150454607327,6.769230769230769,-13.375
84,6.769230769230769,-5.317307692307692,-13.375,9.86861732909761,6.769230769230769,-13.375
85,-13.375,-5.411001788908766,-13.375,9.849027886228084,6.769230769230769,-13.375
86,-13.375,-5.502541998231653,-13.375,9.828988539981742,6.769230769230769,-13.375
87,-13.375,-5.592001748251748,-13.375,9.808539701353107,6.769230769230769,-13.375
88,6.769230769230769,-5.453111495246327,-13.375,9.839920359745099,6.769230769230769,-13.375
89,-13.375,-5.541132478632479,-13.375,9.820272645078257,6.769230769230769,-13.375
90,-13.375,-5.627218934911243,-13.375,9.800253991202299,6.769230769230769,-13.375
91,-13.375,-5.711433946488294,-13.375,9.779897670254323,6.769230769230769,-13.375
92,-13.375,-5.79383788254756,-13.375,9.759234608401226,6.769230769230769,-13.375
93,6.769230769230769,-5.6601882160392805,-13.375,9.792376016848339,6.769230769230769,-13.375
