steps,time,reward,delta,converged
1,0.0020079612731933594,0.0,0,False
2,0.004001140594482422,0.0,0,False
3,0.01600360870361328,0.0,0,False
4,0.00800180435180664,0.0,0,False
5,0.0020003318786621094,0.0,0,False
6,0.0050013065338134766,0.0,0,False
7,0.011002540588378906,0.0,0,False
8,0.01800394058227539,0.0,0,False
9,0.00800180435180664,0.0,0,False
10,0.009001970291137695,0.0,0,False
11,0.004000663757324219,0.0,0,False
12,0.004000663757324219,0.0,0,False
13,0.0030007362365722656,0.0,0,False
14,0.011002302169799805,0.0,0,False
15,0.023005247116088867,0.0,0,False
16,0.009001970291137695,0.0,0,False
17,0.00600123405456543,0.0,0,False
18,0.0009999275207519531,0.0,0,False
19,0.004001140594482422,0.0,0,False
20,0.005000114440917969,0.0,0,False
21,0.006001472473144531,0.0,0,False
22,0.006001472473144531,0.0,0,False
23,0.007001638412475586,0.0,0,False
24,0.00400090217590332,0.0,0,False
25,0.002000570297241211,0.0,0,False
26,0.005001068115234375,0.0,0,False
27,0.00400090217590332,0.0,0,False
28,0.00400090217590332,0.0,0,False
29,0.009001731872558594,0.0,0,False
30,0.00400090217590332,0.0,0,False
31,0.013002634048461914,0.0,0,False
32,0.007001399993896484,0.0,0,False
33,0.013002872467041016,0.0,0,False
34,0.0030007362365722656,0.0,0,False
35,0.0050008296966552734,0.0,0,False
36,0.007001399993896484,0.0,0,False
37,0.01600360870361328,0.0,0,False
38,0.003000497817993164,0.0,0,False
39,0.003000497817993164,0.0,0,False
40,0.003000974655151367,0.0,0,False
41,0.0030007362365722656,0.0,0,False
42,0.013001203536987305,0.0,0,False
43,0.01900506019592285,0.0,0,False
44,0.011002540588378906,0.0,0,False
45,0.005000114440917969,0.0,0,False
46,0.009002208709716797,0.0,0,False
47,0.005001544952392578,0.0,0,False
48,0.0200042724609375,0.0,0,False
49,0.004000663757324219,0.0,0,False
50,0.02300548553466797,0.0,0,False
51,0.009001970291137695,0.0,0,False
52,0.0030007362365722656,0.0,0,False
53,0.004001140594482422,0.0,0,False
54,0.015003681182861328,0.0,0,False
55,0.0030007362365722656,0.0,0,False
56,0.005001068115234375,0.0,0,False
57,0.002000570297241211,0.0,0,False
58,0.003000974655151367,0.0,0,False
59,0.0030007362365722656,0.0,0,False
60,0.006000995635986328,0.0,0,False
61,0.003000497817993164,0.0,0,False
62,0.019004106521606445,0.0,0,False
63,0.0030002593994140625,0.0,0,False
64,0.003000974655151367,0.0,0,False
65,0.023064851760864258,0.0,0,False
66,0.007001638412475586,0.0,0,False
67,0.01600337028503418,0.0,0,False
68,0.010003089904785156,0.0,0,False
69,0.021004438400268555,0.0,0,False
70,0.0050008296966552734,0.0,0,False
71,0.0180051326751709,0.0,0,False
72,0.003000497817993164,0.0,0,False
73,0.007001638412475586,0.0,0,False
74,0.00400090217590332,0.0,0,False
75,0.00800180435180664,0.0,0,False
76,0.01200246810913086,0.0,0,False
77,0.01000213623046875,0.0,0,False
78,0.003001689910888672,0.0,0,False
79,0.0200042724609375,0.0,0,False
80,0.02300548553466797,0.0,0,False
81,0.00400090217590332,0.0,0,False
82,0.006001472473144531,0.0,0,False
83,0.02200484275817871,0.0,0,False
84,0.004001140594482422,0.0,0,False
85,0.011002302169799805,0.0,0,False
86,0.005000591278076172,0.0,0,False
87,0.005001068115234375,0.0,0,False
88,0.023004531860351562,0.0,0,False
89,0.024005651473999023,0.0,0,False
90,0.0009999275207519531,0.0,0,False
91,0.01700425148010254,0.0,0,False
92,0.009002208709716797,0.0,0,False
93,0.008002042770385742,0.0,0,False
94,0.02200484275817871,0.0,0,False
95,0.010002374649047852,0.0,0,False
96,0.021004915237426758,0.0,0,False
97,0.007001638412475586,0.0,0,False
98,0.006001472473144531,0.0,0,False
99,0.009002447128295898,0.0,0,False
100,0.01800394058227539,0.0,0,False
101,0.02200484275817871,0.0,0,False
102,0.027997970581054688,0.0,0,False
103,0.013002395629882812,0.0,0,False
104,0.0029990673065185547,0.0,0,False
105,0.003002166748046875,0.0,0,False
106,0.0030007362365722656,0.0,0,False
107,0.017003774642944336,0.0,0,False
108,0.006000995635986328,0.0,0,False
109,0.005001068115234375,0.0,0,False
110,0.003000497817993164,0.0,0,False
111,0.004001140594482422,0.0,0,False
112,0.02400517463684082,0.0,0,False
113,0.010002374649047852,0.0,0,False
114,0.011002302169799805,0.0,0,False
115,0.024004697799682617,0.0,0,False
116,0.024005651473999023,0.0,0,False
117,0.0050013065338134766,0.0,0,False
118,0.007001638412475586,0.0,0,False
119,0.009002208709716797,0.0,0,False
120,0.013002634048461914,0.0,0,False
121,0.0200045108795166,0.0,0,False
122,0.006000995635986328,0.0,0,False
123,0.021004676818847656,0.0,0,False
124,0.008001327514648438,0.0,0,False
125,0.009001731872558594,0.0,0,False
126,0.003000497817993164,0.0,0,False
127,0.006001710891723633,0.0,0,False
128,0.024005413055419922,0.0,0,False
129,0.0030007362365722656,0.0,0,False
130,0.006001710891723633,0.0,0,False
131,0.004001140594482422,0.0,0,False
132,0.006001949310302734,0.0,0,False
133,0.0020003318786621094,0.0,0,False
134,0.023005008697509766,0.0,0,False
