params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.439988851547241,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",2.478628635406494,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",2.4795494079589844,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",2.49857234954834,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",2.511575937271118,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",2.5395724773406982,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",2.549574375152588,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",2.6045870780944824,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8}",2.6555984020233154,100,0.00019088126990188023,0.0,0.0,0.005434782608695652,0.0008598788388404291
"{""discount_factor"": 0.9}",2.860645055770874,100,0.0009721792667312085,0.0,0.0,0.010752688172043012,0.0022236248433224744
