steps,time,reward,delta,converged
1,0.0019533634185791016,0.0,0,False
2,0.009771347045898438,0.0,0,False
3,0.0009696483612060547,0.0,0,False
4,0.002930879592895508,0.0,0,False
5,0.0009768009185791016,0.0,0,False
6,0.0,0.0,0,False
7,0.001954793930053711,0.0,0,False
8,0.005864858627319336,0.0,0,False
9,0.003910541534423828,0.0,0,False
10,0.0009770393371582031,0.0,0,False
11,0.003910541534423828,0.0,0,False
12,0.0009775161743164062,0.0,0,False
13,0.0009772777557373047,0.0,0,False
14,0.0029234886169433594,0.0,0,False
15,0.006368160247802734,0.0,0,False
16,0.004908561706542969,0.0,0,False
17,0.004885673522949219,0.0,0,False
18,0.023485422134399414,0.0,0,False
19,0.011727571487426758,0.0,0,False
20,0.003910064697265625,0.0,0,False
21,0.0063669681549072266,0.0,0,False
22,0.0009765625,0.0,0,False
23,0.01418447494506836,0.0,0,False
24,0.018094778060913086,0.0,0,False
25,0.0039081573486328125,0.0,0,False
26,0.007817506790161133,0.0,0,False
27,0.003908395767211914,0.0,0,False
28,0.004887819290161133,0.0,0,False
29,0.022980451583862305,0.0,0,False
30,0.0019485950469970703,0.0,0,False
31,0.008322000503540039,0.0,0,False
32,0.0019545555114746094,0.0,0,False
33,0.007820367813110352,0.0,0,False
34,0.00539088249206543,0.0,0,False
35,0.008795738220214844,0.0,0,False
36,0.010275125503540039,0.0,0,False
37,0.00683283805847168,0.0,0,False
38,0.010275602340698242,0.0,0,False
39,0.0019533634185791016,0.0,0,False
40,0.0019545555114746094,0.0,0,False
41,0.014658927917480469,0.0,0,False
42,0.0068416595458984375,0.0,0,False
43,0.004412651062011719,0.0,0,False
44,0.005864620208740234,0.0,0,False
45,0.008321523666381836,0.0,0,False
46,0.005872964859008789,0.0,0,False
47,0.01418447494506836,0.0,0,False
48,0.012224912643432617,0.0,0,False
49,0.01074981689453125,0.0,0,False
50,0.001963376998901367,0.0,0,False
51,0.01027679443359375,0.0,0,False
52,0.008796930313110352,0.0,0,False
53,0.011253833770751953,0.0,0,False
54,0.01711583137512207,0.0,0,False
55,0.022974491119384766,0.0,0,False
56,0.020049095153808594,0.0,0,False
57,0.001964569091796875,0.0,0,False
58,0.00390934944152832,0.0,0,False
59,0.011263370513916016,0.0,0,False
60,0.0029320716857910156,0.0,0,False
61,0.007343769073486328,0.0,0,False
62,0.006841897964477539,0.0,0,False
63,0.0053899288177490234,0.0,0,False
64,0.003908395767211914,0.0,0,False
65,0.01516103744506836,0.0,0,False
66,0.011736869812011719,0.0,0,False
67,0.002931833267211914,0.0,0,False
68,0.010276079177856445,0.0,0,False
69,0.004885673522949219,0.0,0,False
70,0.0034360885620117188,0.0,0,False
71,0.020049571990966797,0.0,0,False
72,0.004888296127319336,0.0,0,False
73,0.01320791244506836,0.0,0,False
74,0.018093109130859375,0.0,0,False
75,0.022979736328125,0.0,0,False
76,0.017116785049438477,0.0,0,False
77,0.012705087661743164,0.0,0,False
78,0.022979021072387695,0.0,0,False
79,0.0063669681549072266,0.0,0,False
80,0.022005796432495117,0.0,0,False
81,0.010277032852172852,0.0,0,False
82,0.007819175720214844,0.0,0,False
83,0.0009765625,0.0,0,False
84,0.014186620712280273,0.0,0,False
85,0.0009775161743164062,0.0,0,False
86,0.01125335693359375,0.0,0,False
87,0.0029315948486328125,0.0,0,False
88,0.008320093154907227,0.0,0,False
89,0.006832599639892578,0.0,0,False
90,0.0058634281158447266,0.0,0,False
91,0.009298563003540039,0.0,0,False
92,0.022981882095336914,0.0,0,False
93,0.010276317596435547,0.0,0,False
94,0.003908634185791016,0.0,0,False
95,0.016139745712280273,0.0,0,False
96,0.018100738525390625,0.0,0,False
97,0.00977468490600586,0.0,0,False
98,0.003908634185791016,0.0,0,False
99,0.003907442092895508,0.0,0,False
100,0.007818460464477539,0.0,0,False
101,0.006367683410644531,0.0,0,False
102,0.009773731231689453,0.0,0,False
103,0.0044116973876953125,0.0,0,False
104,0.008796215057373047,0.0,0,False
105,0.00734400749206543,0.0,0,False
106,0.010760784149169922,0.0,0,False
107,0.007353544235229492,0.0,0,False
108,0.001955270767211914,0.0,0,False
109,0.010750770568847656,0.0,0,False
110,0.006833076477050781,0.0,0,False
111,0.0039098262786865234,0.0,0,False
112,0.003440380096435547,0.0,0,False
113,0.014659404754638672,0.0,0,False
114,0.007343769073486328,0.0,0,False
115,0.0048863887786865234,0.0,0,False
116,0.018094778060913086,0.0,0,False
117,0.001954317092895508,0.0,0,False
118,0.01321101188659668,0.0,0,False
119,0.004885435104370117,0.0,0,False
120,0.013207197189331055,0.0,0,False
121,0.022003889083862305,0.0,0,False
122,0.0039081573486328125,0.0,0,False
123,0.006367206573486328,0.0,0,False
124,0.006871938705444336,0.0,0,False
125,0.0058634281158447266,0.0,0,False
126,0.0029315948486328125,0.0,0,False
127,0.0058629512786865234,0.0,0,False
128,0.017620325088500977,0.0,0,False
129,0.010750532150268555,0.0,0,False
130,0.009306669235229492,0.0,0,False
131,0.003909111022949219,0.0,0,False
132,0.013208389282226562,0.0,0,False
133,0.008796215057373047,0.0,0,False
134,0.009299278259277344,0.0,0,False
135,0.004887819290161133,0.0,0,False
136,0.0019538402557373047,0.0,0,False
137,0.022505998611450195,0.0,0,False
138,0.0029311180114746094,0.0,0,False
139,0.0068399906158447266,0.0,0,False
140,0.0029239654541015625,0.0,0,False
141,0.012704849243164062,0.0,0,False
142,0.002931356430053711,0.0,0,False
143,0.002938985824584961,0.0,0,False
144,0.00488591194152832,0.0,0,False
145,0.006827354431152344,0.0,0,False
146,0.0034356117248535156,0.0,0,False
147,0.0048980712890625,0.0,0,False
148,0.008322477340698242,0.0,0,False
149,0.014659643173217773,0.0,0,False
150,0.0009768009185791016,0.0,0,False
151,0.00879669189453125,0.0,0,False
152,0.004413127899169922,0.0,0,False
153,0.003909111022949219,0.0,0,False
154,0.005863189697265625,0.0,0,False
155,0.015152931213378906,0.0,0,False
156,0.017118215560913086,0.0,0,False
157,0.011725902557373047,0.0,0,False
158,0.007816791534423828,0.0,0,False
159,0.0009763240814208984,0.0,0,False
160,0.014192819595336914,0.0,0,False
161,0.010276079177856445,0.0,0,False
162,0.004888772964477539,0.0,0,False
163,0.008795022964477539,0.0,0,False
164,0.012230634689331055,0.0,0,False
165,0.004884958267211914,0.0,0,False
166,0.0019545555114746094,0.0,0,False
167,0.0029306411743164062,0.0,0,False
168,0.017116546630859375,0.0,0,False
169,0.005862712860107422,0.0,0,False
170,0.0029315948486328125,0.0,0,False
171,0.022504568099975586,0.0,0,False
172,0.011727571487426758,0.0,0,False
173,0.004877805709838867,0.0,0,False
174,0.015163183212280273,0.0,0,False
175,0.010275125503540039,0.0,0,False
176,0.004887580871582031,0.0,0,False
177,0.009299039840698242,0.0,0,False
178,0.009772777557373047,0.0,0,False
179,0.00538945198059082,0.0,0,False
180,0.022478103637695312,0.0,0,False
181,0.0019538402557373047,0.0,0,False
182,0.0019550323486328125,0.0,0,False
183,0.0029251575469970703,0.0,0,False
184,0.005862712860107422,0.0,0,False
185,0.022505521774291992,0.0,0,False
186,0.0029311180114746094,0.0,0,False
187,0.006367921829223633,0.0,0,False
188,0.0029315948486328125,0.0,0,False
189,0.02298760414123535,0.0,0,False
190,0.0029320716857910156,0.0,0,False
191,0.001954793930053711,0.0,0,False
192,0.0029325485229492188,0.0,0,False
193,0.010742425918579102,0.0,0,False
194,0.004886627197265625,0.0,0,False
195,0.00684046745300293,0.0,0,False
196,0.020054340362548828,0.0,0,False
197,0.022983551025390625,0.0,0,False
198,0.005865335464477539,0.0,0,False
199,0.011256217956542969,0.0,0,False
200,0.001954793930053711,0.0,0,True
