step,reward,mean,median,std,max,min
0,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.0,0.009433962264150943,0.009433962264150943
1,0.006369426751592357,0.00790169450787165,0.00790169450787165,0.001532267756279293,0.009433962264150943,0.006369426751592357
2,0.013333333333333334,0.009712240783025544,0.009433962264150943,0.002849804428418917,0.013333333333333334,0.006369426751592357
3,0.010309278350515464,0.009861500174898024,0.009871620307333203,0.00248150640909176,0.013333333333333334,0.006369426751592357
4,0.010638297872340425,0.010016859714386504,0.010309278350515464,0.0022411705853707512,0.013333333333333334,0.006369426751592357
5,0.01694915254237288,0.011172241852384234,0.010473788111427944,0.003295488444014066,0.01694915254237288,0.006369426751592357
6,0.017241379310344827,0.012039261489235746,0.010638297872340425,0.003717407557436441,0.017241379310344827,0.006369426751592357
7,0.0,0.010534353803081278,0.010473788111427944,0.005286299186245747,0.017241379310344827,0.0
8,0.011494252873563218,0.01064100925535705,0.010638297872340425,0.004993091899459474,0.017241379310344827,0.0
9,0.012048192771084338,0.010781727606929779,0.011066275372951823,0.0047556371744517205,0.017241379310344827,0.0
10,0.014925373134328358,0.011158422654875103,0.011494252873563218,0.004688183955981927,0.017241379310344827,0.0
11,0.005128205128205128,0.010655904527652605,0.011066275372951823,0.0047880318386672996,0.017241379310344827,0.0
12,0.0,0.00983621956398702,0.010638297872340425,0.005405956851502407,0.017241379310344827,0.0
13,0.013333333333333334,0.010086013404654615,0.011066275372951823,0.0052865938972355255,0.017241379310344827,0.0
14,0.0,0.009413612511010973,0.010638297872340425,0.00569338137637211,0.017241379310344827,0.0
15,0.01020408163265306,0.009463016831113604,0.010473788111427944,0.005515912556498836,0.017241379310344827,0.0
16,0.02564102564102564,0.010414664408167254,0.010638297872340425,0.006567015919431571,0.02564102564102564,0.0
17,0.016666666666666666,0.010761997866972775,0.011066275372951823,0.0065406968288916865,0.02564102564102564,0.0
18,0.015384615384615385,0.011005293525796071,0.011494252873563218,0.006449385119914435,0.02564102564102564,0.0
19,0.01818181818181818,0.011364119758597177,0.011771222822323778,0.006477747219929431,0.02564102564102564,0.0
20,0.007352941176470588,0.011173111254686388,0.011494252873563218,0.006379086235892028,0.02564102564102564,0.0
21,0.014084507042253521,0.01130544742684853,0.011771222822323778,0.006261856055666714,0.02564102564102564,0.0
22,0.037037037037037035,0.0124242121925089,0.012048192771084338,0.008064861021494332,0.037037037037037035,0.0
23,0.012195121951219513,0.012414666765788509,0.012121657361151925,0.00789518817430109,0.037037037037037035,0.0
24,0.0,0.011918080095156968,0.012048192771084338,0.008109192078751918,0.037037037037037035,0.0
25,0.008547008547008548,0.01178842349715126,0.011771222822323778,0.007978099701361535,0.037037037037037035,0.0
26,0.005494505494505495,0.011555315422979195,0.011494252873563218,0.007918679712917744,0.037037037037037035,0.0
27,0.013513513513513514,0.011625251069069706,0.011771222822323778,0.007784475802608363,0.037037037037037035,0.0
28,0.0,0.01122438034255006,0.011494252873563218,0.007937757909306412,0.037037037037037035,0.0
29,0.023809523809523808,0.011643885124782519,0.011771222822323778,0.00812473245998655,0.037037037037037035,0.0
30,0.05,0.012881179153015341,0.012048192771084338,0.01047896831112179,0.05,0.0
31,0.0,0.01247864230448361,0.011771222822323778,0.010554637176883415,0.05,0.0
32,0.01098901098901099,0.012433501961590501,0.011494252873563218,0.010396624552648859,0.05,0.0
33,0.02127659574468085,0.012693592955210805,0.011771222822323778,0.010350992801966425,0.05,0.0
34,0.0196078431372549,0.012891142960412064,0.012048192771084338,0.010266874211973096,0.05,0.0
35,0.0,0.012533055655956173,0.011771222822323778,0.01034256325034841,0.05,0.0
36,0.025,0.012870000097687089,0.012048192771084338,0.010400226295386053,0.05,0.0
37,0.01818181818181818,0.013009784784111592,0.012121657361151925,0.010297632660186781,0.05,0.0
38,0.013888888888888888,0.013032325915003317,0.012195121951219513,0.010165704116751089,0.05,0.0
39,0.009345794392523364,0.01294016262694132,0.012121657361151925,0.010054316012518522,0.05,0.0
40,0.009615384615384616,0.012859070480317985,0.012048192771084338,0.009944180004727833,0.05,0.0
41,0.0,0.01255290213554851,0.011771222822323778,0.010018760982131206,0.05,0.0
42,0.01639344262295082,0.012642217030604377,0.012048192771084338,0.009918482561268342,0.05,0.0
43,0.043478260869565216,0.013343036208762577,0.012121657361151925,0.0108286571089059,0.05,0.0
44,0.0,0.013046524293012299,0.012048192771084338,0.0108868035268592,0.05,0.0
45,0.011904761904761904,0.013021703371528593,0.011976477337923121,0.010769105750101678,0.05,0.0
46,0.025,0.013276560746602453,0.012048192771084338,0.01079323488973949,0.05,0.0
47,0.009900990099009901,0.013206236358110942,0.011976477337923121,0.010691089848711352,0.05,0.0
48,0.045454545454545456,0.013864365115181033,0.012048192771084338,0.011522029656936102,0.05,0.0
49,0.014925373134328358,0.01388558527556398,0.012121657361151925,0.011407194595172645,0.05,0.0
50,0.025,0.014103514976043119,0.012195121951219513,0.011399443123826966,0.05,0.0
51,0.0136986301369863,0.01409572872913818,0.012764227642276423,0.011289437932627079,0.05,0.0
52,0.018518518518518517,0.014179177593088753,0.013333333333333334,0.011198606089252484,0.05,0.0
53,0.017241379310344827,0.0142358850322972,0.013333333333333334,0.011102109143860499,0.05,0.0
54,0.030303030303030304,0.014528014946310529,0.013333333333333334,0.011208217882236532,0.05,0.0
55,0.006578947368421052,0.014386067310991072,0.013333333333333334,0.0111574666457641,0.05,0.0
56,0.0,0.014133680165184211,0.013333333333333334,0.011219278163823688,0.05,0.0
57,0.020833333333333332,0.014249191426704024,0.013333333333333334,0.011156277814158391,0.05,0.0
58,0.007692307692307693,0.014138057804087138,0.013333333333333334,0.011093662142918001,0.05,0.0
59,0.02631578947368421,0.014341019998580421,0.013333333333333334,0.01111074298011059,0.05,0.0
60,0.011764705882352941,0.014298785340937347,0.013333333333333334,0.011024150209906445,0.05,0.0
61,0.015384615384615385,0.014316298728738606,0.013333333333333334,0.01093573984488218,0.05,0.0
62,0.016666666666666666,0.014353606156324765,0.013333333333333334,0.010852577568506595,0.05,0.0
63,0.0,0.014129331060132193,0.013333333333333334,0.01091361575464192,0.05,0.0
64,0.017241379310344827,0.01417720872552008,0.013333333333333334,0.010836110863834176,0.05,0.0
65,0.012048192771084338,0.01414495090802863,0.013333333333333334,0.010756850138816389,0.05,0.0
66,0.0,0.013933832237759547,0.013333333333333334,0.010813163493199782,0.05,0.0
67,0.009259259259259259,0.013865088517487483,0.012764227642276423,0.01074809976498506,0.05,0.0
68,0.014084507042253521,0.013868268496107282,0.013333333333333334,0.010669962952200386,0.05,0.0
69,0.0,0.013670150374734319,0.012764227642276423,0.010720541607100868,0.05,0.0
70,0.0,0.01347761304551271,0.012195121951219513,0.010765975264756197,0.05,0.0
71,0.02,0.013568201753213919,0.012764227642276423,0.010718165096431458,0.05,0.0
72,0.011904761904761904,0.01354541490597485,0.012195121951219513,0.010646255799513801,0.05,0.0
73,0.0,0.013362368758596812,0.012121657361151925,0.010689108181528828,0.05,0.0
74,0.0,0.01318420384181552,0.012048192771084338,0.010727654411869918,0.05,0.0
75,0.013888888888888888,0.013193476013487538,0.012121657361151925,0.010657146561662426,0.05,0.0
76,0.0,0.013022132169156531,0.012048192771084338,0.010692569287789302,0.05,0.0
77,0.0,0.012855181756731447,0.012048192771084338,0.010724338363373767,0.05,0.0
78,0.0,0.012692457937025985,0.012048192771084338,0.010752718616277435,0.05,0.0
79,0.0,0.012533802212813161,0.011976477337923121,0.010777952270145892,0.05,0.0
80,0.009615384615384616,0.012497772365931326,0.011904761904761904,0.010716061800876892,0.05,0.0
81,0.009259259259259259,0.012458278303654839,0.011904761904761904,0.010656449145047705,0.05,0.0
82,0.04,0.012790106275899962,0.011904761904761904,0.01101002818221736,0.05,0.0
83,0.029411764705882353,0.01298798316197118,0.011976477337923121,0.011091776390925656,0.05,0.0
84,0.022222222222222223,0.013096621268562366,0.012048192771084338,0.011071201792091789,0.05,0.0
